latitude,longitude,acq_date,ndvi,ndmi,land_cover,label
38.67009,31.92975,2020-02-20,0.1404,-0.1063,4,0
36.23278,33.67825,2021-02-09,0.2181,0.0729,1,0
37.22685,40.21441,2023-01-07,0.1669,-0.1315,4,0
37.37136,39.74656,2023-07-02,0.1711,-0.0626,4,1
37.37136,39.74656,2023-01-13,0.2686,-0.0118,7,0
37.09655,39.76654,2020-06-26,0.2698,0.1222,4,1
37.09655,39.76654,2020-01-08,0.5506,0.1111,4,0
38.30243,32.31176,2020-10-11,0.0754,-0.1282,4,1
36.33514,33.96779,2021-10-30,0.4549,0.0815,4,1
36.33514,33.96779,2021-05-13,0.1868,-0.0659,4,0
36.7779,35.26097,2020-08-30,0.5393,0.1538,4,1
36.7779,35.26097,2020-03-13,0.6779,0.266,4,0
36.90334,31.36442,2021-07-28,0.6419,0.1616,5,1
37.68171,38.31685,2023-03-01,0.8059,0.3938,4,1
37.03146,40.21289,2020-06-27,0.095,-0.1068,4,1
37.03146,40.21289,2020-01-09,0.2084,-0.1482,4,0
38.31711,33.07486,2020-03-07,0.1377,-0.1438,4,1
38.31711,33.07486,2019-09-19,0.4905,0.1193,4,0
38.43176,33.82539,2020-07-23,0.1439,-0.1105,4,1
38.43176,33.82539,2020-02-04,0.7991,0.3879,4,0
39.77597,35.22265,2020-08-14,0.1372,-0.0458,4,1
39.77597,35.22265,2020-02-26,0.2712,-0.0426,7,0
36.90176,35.78062,2022-09-08,0.467,-0.0368,4,1
41.17913,26.59744,2020-09-19,0.1556,-0.138,4,1
41.17913,26.59744,2020-04-02,0.845,0.4078,4,0
38.35865,32.99895,2020-03-07,0.1305,-0.1312,4,1
38.35865,32.99895,2019-09-19,0.4995,0.0914,4,0
37.05366,31.39987,2021-08-05,0.4057,-0.0434,5,1
38.05585,41.52729,2020-10-24,0.1327,-0.0722,4,1
36.95512,35.41976,2020-09-10,0.0956,-0.1907,4,1
37.15159,42.52146,2021-11-12,0.5642,0.0824,4,1
37.15159,42.52146,2021-05-26,0.2923,0.1149,4,0
38.63044,31.21425,2022-04-14,0.1834,-0.2099,4,1
38.63044,31.21425,2021-10-26,0.3567,-0.0539,7,0
38.19697,29.3902,2020-08-02,0.2333,-0.0563,5,1
38.19697,29.3902,2020-02-14,0.3012,-0.0214,1,0
38.26441,39.09859,2021-07-20,0.2578,-0.0742,4,1
38.26441,39.09859,2021-01-31,0.3031,-0.1168,5,0
37.3074,28.36356,2021-08-04,0.9122,0.4747,1,1
37.3074,28.36356,2021-02-15,0.9208,0.5487,1,0
36.8205,38.57333,2023-06-21,0.2846,-0.0339,4,1
36.8205,38.57333,2023-01-02,0.3668,0.0062,4,0
36.93528,35.79845,2021-03-10,0.1822,-0.269,4,0
